feat	id
CLCN4	404
GSDMB	405
PPP2R3A	406
FERMT2	407
DHRS9	408
PTGS2	409
IGF2BP2	410
ST6GAL1	411
FRY	412
GLI2	413
NOTCH3	414
PPP2R2C	415
TEAD2	416
ATP2A3	417
CA12	418
MGLL	419
NTN4	420
NUAK1	421
ZNF532	422
ARHGEF10L	423
KCNQ2	424
SEMA3A	425
SEMA3C	426
GRAMD4	427
CELSR1	428
ADD2	429
RASAL2	430
FNDC3B	431
FOSL2	432
CACNG4	433
FSCN1	434
MOCOS	435
PLD1	436
RBMS2	437
MLH1	438
RGS11	439
PLXNA2	440
TPD52	441
PAG1	442
ICAM3	443
MCAM	444
GPC4	445
CAMSAP3	446
RAP1GAP	447
STXBP2	448
CTTNBP2	449
RARB	450
NFKB2	451
IL4R	452
APBB1IP	453
TYR	454
ACTN2	455
GPR137B	456
FGFR1	457
FBLN1	458
CST7	459
MAP2	460
AMPH	461
LAMP3	462
FAP	463
NEBL	464
HOXA9	465
EDN1	466
ITM2A	467
TP53INP2	468
TP73	469
CDH17	470
FKBP7	471
OSBPL6	472
SLC1A3	473
LXN	474
SP140	475
TNS1	476
RAPGEF3	477
CEACAM1	478
DUSP13	479
LIPE	480
OPHN1	481
PGM1	482
EPB41L2	483
MOXD1	484
DDX43	485
PTPRH	486
DCT	487
SLC4A4	488
SMARCA2	489
MID2	490
COL5A3	491
KCNN2	492
MOK	493
IGSF9B	494
CXCL2	495
AFP	496
TCF7	497
OSTM1	498
ARG2	499
MEF2C	500
PTPRC	501
PKP1	502
ZNF506	503
CADPS2	504
ATP8B1	505
IL12RB2	506
SMARCD3	507
FYB1	508
FAM135A	509
COL19A1	510
EPB41L3	511
COBLL1	512
DLG3	513
KCNK2	514
SERTAD4	515
TRAF5	516
ITGB5	517
ULK2	518
GRHL2	519
PLOD1	520
P2RX5	521
OXCT1	522
SLC27A5	523
FAT1	524
SSH1	525
GSTP1	526
NKAIN1	527
COL16A1	528
EFR3B	529
KIF3C	530
CD59	531
CD82	532
MECOM	533
IGSF9	534
ABCB1	535
AKR1B1	536
WNT11	537
TTC39A	538
MGST2	539
USP40	540
B4GALT1	541
FOLH1	542
EPDR1	543
SNX10	544
HBQ1	545
CEACAM6	546
FAT2	547
HSD17B2	548
LAT2	549
PPP1R15A	550
HSD17B14	551
TRIP6	552
ACHE	553
FTL	554
ADAMTS2	555
MMP2	556
LPCAT2	557
GNAO1	558
NID2	559
PTHLH	560
PHACTR3	561
TFAP2C	562
PIR	563
SULT2B1	564
ASAP3	565
DNMT3B	566
EPB41L1	567
DOCK9	568
C3orf18	569
TMEM40	570
ARHGAP28	571
SMOX	572
SLC4A11	573
C20orf194	574
EBF4	575
TESC	576
P2RX7	577
SLC23A2	578
OAS1	579
PXN	580
CHGB	581
FXYD5	582
ZNF302	583
GRAMD1A	584
FXYD3	585
HEPH	586
CDIP1	587
ARHGAP4	588
LTBP4	589
BLVRB	590
PCBP4	591
RGS1	592
YPEL3	593
ICAM1	594
LYZ	595
P3H2	596
FLT3LG	597
CERS4	598
EFNB1	599
PLEKHG2	600
DLL3	601
NRCAM	602
LAMB1	603
ABCC6	604
ITGA6	605
SMPX	606
SEL1L3	607
TF	608
NLRP1	609
PITPNM3	610
ZFHX4	611
ESR1	612
TMEM101	613
CD200	614
CCDC80	615
SLC7A8	616
SLC22A17	617
SEMA6A	618
CAPN3	619
PHGDH	620
COL9A3	621
EZR	622
UNC13D	623
DPYSL2	624
TGFB2	625
COMT	626
ECHDC1	627
GABRP	628
HOOK2	629
EPB41L4B	630
PTGS1	631
CRAT	632
TBC1D2	633
